,Configuration,Tasks Analyzed,Raw Dis Mean,Raw Err Mean,Errors (Err > 0),Error Rate (Errors / Total),Detected Errors (Err > 0 and Dis > 0),Detection Rate (Detected / Errors),Confident (Dis = 0),Confident Rate (Confident / Total),Confident Errors (Err > 0 and Dis = 0),Confident Error Rate (Confident Errors / Confident),Error Mean When Confident,Raw Dis Std,Raw Dis min,Raw Dis Max,Raw Err Std,Raw Err min,Raw Err Max,R² (Err vs Dis),Spearman Rho err vs. diss,Unconfident Spearman Rho err vs. diss,no_candidates,threshold,model
0,gemini_2_5_pro_temp0.6_10_candidate,145,0.02948965517241379,0.07632413793103449,64,44.14%,46,71.88%,97,66.90%,18,18.56%,0.0417,0.06489600351558551,0.0,0.369,0.1609197222330662,0.0,0.746,0.2341,0.7170847485908703,0.8792939737950334,10,10,gemini_2_5_pro
1,deepseek_v3_0324_temp0.6_10_candidate,145,0.023475862068965517,0.07811724137931035,59,40.69%,27,45.76%,117,80.69%,32,27.35%,0.0552,0.07104579220315639,0.0,0.374,0.17197271248853951,0.0,0.989,0.0115,0.5345577562039235,0.7554161198713486,10,10,deepseek_v3_0324
2,claude_sonnet_4_temp0.6_10_candidate,147,0.007564625850340135,0.060517006802721096,54,36.73%,15,27.78%,132,89.80%,39,29.55%,0.0533,0.036846818049462784,0.0,0.379,0.13071053097607543,0.0,0.74,-0.1240,0.4097524448817023,0.6887309768138348,10,10,claude_sonnet_4
3,gpt_4_turbo_temp0.6_10_candidate,145,0.04766206896551724,0.09117931034482758,71,48.97%,54,76.06%,91,62.76%,17,18.68%,0.0398,0.11496555530272626,0.0,0.763,0.19381984770668254,0.0,0.974,0.3787,0.7527578273526288,0.7442849245380334,10,10,gpt_4_turbo
4,gemini_2_5_flash_temp0.6_10_candidate,145,0.034696551724137936,0.07959310344827586,65,44.83%,49,75.38%,95,65.52%,16,16.84%,0.0339,0.07854709320005648,0.0,0.478,0.16658432664411157,0.0,0.875,0.2900,0.7583987567626226,0.8135507818165241,10,10,gemini_2_5_flash
5,gpt_4o_temp0.6_10_candidate,145,0.048268965517241386,0.0926896551724138,71,48.97%,50,70.42%,95,65.52%,21,22.11%,0.0460,0.12111369723342828,0.0,0.76,0.1858762108368188,0.0,0.968,0.3344,0.7181057106650384,0.7647638033858465,10,10,gpt_4o
6,llama_4_maverick_17b_temp0.6_10_candidate,147,0.036741496598639456,0.08763265306122447,63,42.86%,34,53.97%,113,76.87%,29,25.66%,0.0583,0.10932576847286261,0.0,0.686,0.18611904907981944,0.0,0.986,0.2096,0.6242188865813655,0.6764233875313171,10,10,llama_4_maverick_17b
7,gpt_o4_mini_temp0.6_10_candidate,147,0.038795918367346936,0.0893265306122449,78,53.06%,55,70.51%,92,62.59%,23,25.00%,0.0420,0.08780164246023205,0.0,0.494,0.17846637531830994,0.0,0.977,0.2094,0.709243549618989,0.8034287039803258,10,10,gpt_o4_mini
8,llama_3_3_70b_instruct_temp0.6_10_candidate,146,0.09284246575342466,0.12225342465753425,81,55.48%,68,83.95%,76,52.05%,13,17.11%,0.0314,0.1693941132209737,0.0,0.932,0.2047526677580176,0.0,0.979,0.5190,0.8172925059432143,0.8110688199563478,10,10,llama_3_3_70b_instruct
9,gpt_4_temp0.6_10_candidate,147,0.0823469387755102,0.11435374149659866,85,57.82%,72,84.71%,73,49.66%,13,17.81%,0.0424,0.1550647726439461,0.0,0.873,0.20550057691367085,0.0,0.991,0.5226,0.8126859302156123,0.8863920841786048,10,10,gpt_4
10,llama_3_1_8b_instruct_temp0.6_10_candidate,145,0.19538620689655176,0.21400689655172414,106,73.10%,98,92.45%,45,31.03%,8,17.78%,0.0261,0.2373172527028744,0.0,0.88,0.2635342939550157,0.0,0.988,0.7475,0.8890209750057337,0.8491870370019652,10,10,llama_3_1_8b_instruct
11,ministral_8b_temp0.6_10_candidate,144,0.09112499999999998,0.1584583333333333,84,58.33%,62,73.81%,82,56.94%,22,26.83%,0.0737,0.1685770461424423,0.0,0.731,0.24691479285485418,0.0,1.0,0.2977,0.7282090011410571,0.7982144655988718,10,10,ministral_8b
12,deepseek_r1_temp0.6_10_candidate,146,0.03560958904109589,0.07236301369863014,65,44.52%,49,75.38%,97,66.44%,16,16.49%,0.0180,0.08808575937085802,0.0,0.574,0.16664057294015083,0.0,0.93,0.4833,0.7993693744673604,0.8269859108183327,10,10,deepseek_r1
13,gpt_3_5_temp0.6_10_candidate,145,0.0906,0.1634551724137931,82,56.55%,70,85.37%,75,51.72%,12,16.00%,0.0458,0.14975503675830992,0.0,0.804,0.2557455626556866,0.0,1.0,0.4049,0.8191679718702292,0.7547704687563573,10,10,gpt_3_5
14,claude_opus_4_temp0.6_10_candidate,146,0.006664383561643835,0.06323972602739725,50,34.25%,15,30.00%,131,89.73%,35,26.72%,0.0601,0.029030517102699716,0.0,0.18,0.1486952986697975,0.0,0.911,-0.1184,0.40410713308000623,0.8576547752103879,10,10,claude_opus_4
15,gemini_2_0_flash_lite_temp0.6_10_candidate,148,0.03425675675675676,0.11646621621621622,68,45.95%,28,41.18%,119,80.41%,40,33.61%,0.0851,0.11395299657016138,0.0,0.778,0.20339255798194716,0.0,0.956,0.1626,0.4828980015692856,0.8534812659617782,10,10,gemini_2_0_flash_lite
