,Configuration,Tasks Analyzed,Raw Dis Mean,Raw Err Mean,Errors (Err > 0),Error Rate (Errors / Total),Detected Errors (Err > 0 and Dis > 0),Detection Rate (Detected / Errors),Confident (Dis = 0),Confident Rate (Confident / Total),Confident Errors (Err > 0 and Dis = 0),Confident Error Rate (Confident Errors / Confident),Error Mean When Confident,Raw Dis Std,Raw Dis min,Raw Dis Max,Raw Err Std,Raw Err min,Raw Err Max,R² (Err vs Dis),Spearman Rho err vs. diss,Unconfident Spearman Rho err vs. diss,no_candidates,threshold,model
0,gpt_o4_mini_temp0.6_10_candidate,147,0.038795918367346936,0.0893265306122449,78,0.5306122448979592,55,0.7051282051282052,92,0.6258503401360545,23,0.25,0.04197826086956522,0.08780164246023205,0.0,0.494,0.17846637531830994,0.0,0.977,0.20940990813553628,0.709243549618989,0.8034287039803258,10,10,gpt_o4_mini
1,ministral_8b_temp0.6_10_candidate,144,0.09112499999999998,0.1584583333333333,84,0.5833333333333334,62,0.7380952380952381,82,0.5694444444444444,22,0.2682926829268293,0.07370731707317074,0.1685770461424423,0.0,0.731,0.24691479285485418,0.0,1.0,0.29767166806062806,0.7282090011410571,0.7982144655988718,10,10,ministral_8b
2,gemini_2_5_pro_temp0.6_10_candidate,145,0.02948965517241379,0.07632413793103449,64,0.4413793103448276,46,0.71875,97,0.6689655172413793,18,0.18556701030927836,0.04170103092783505,0.06489600351558551,0.0,0.369,0.1609197222330662,0.0,0.746,0.2341134783849398,0.7170847485908703,0.8792939737950334,10,10,gemini_2_5_pro
3,gpt_4o_temp0.6_10_candidate,145,0.048268965517241386,0.0926896551724138,71,0.4896551724137931,50,0.704225352112676,95,0.6551724137931034,21,0.22105263157894736,0.0459578947368421,0.12111369723342828,0.0,0.76,0.1858762108368188,0.0,0.968,0.3343707160649362,0.7181057106650384,0.7647638033858465,10,10,gpt_4o
4,deepseek_v3_0324_temp0.6_10_candidate,145,0.023475862068965517,0.07811724137931035,59,0.4068965517241379,27,0.4576271186440678,117,0.8068965517241379,32,0.27350427350427353,0.05523931623931624,0.07104579220315639,0.0,0.374,0.17197271248853951,0.0,0.989,0.011471163133488949,0.5345577562039235,0.7554161198713486,10,10,deepseek_v3_0324
5,gpt_4_turbo_temp0.6_10_candidate,145,0.04766206896551724,0.09117931034482758,71,0.4896551724137931,54,0.7605633802816901,91,0.6275862068965518,17,0.18681318681318682,0.03978021978021978,0.11496555530272626,0.0,0.763,0.19381984770668254,0.0,0.974,0.37868065125484285,0.7527578273526288,0.7442849245380334,10,10,gpt_4_turbo
6,gemini_2_5_flash_temp0.6_10_candidate,145,0.034696551724137936,0.07959310344827586,65,0.4482758620689655,49,0.7538461538461538,95,0.6551724137931034,16,0.16842105263157894,0.033947368421052636,0.07854709320005648,0.0,0.478,0.16658432664411157,0.0,0.875,0.28999882824749457,0.7583987567626226,0.8135507818165241,10,10,gemini_2_5_flash
7,gemini_2_0_flash_lite_temp0.6_10_candidate,148,0.03425675675675676,0.11646621621621622,68,0.4594594594594595,28,0.4117647058823529,119,0.8040540540540541,40,0.33613445378151263,0.08512605042016808,0.11395299657016138,0.0,0.778,0.20339255798194716,0.0,0.956,0.16260365317939218,0.4828980015692856,0.8534812659617782,10,10,gemini_2_0_flash_lite
8,deepseek_r1_temp0.6_10_candidate,146,0.03560958904109589,0.07236301369863014,65,0.4452054794520548,49,0.7538461538461538,97,0.6643835616438356,16,0.16494845360824742,0.01797938144329897,0.08808575937085802,0.0,0.574,0.16664057294015083,0.0,0.93,0.48329394525499936,0.7993693744673604,0.8269859108183327,10,10,deepseek_r1
9,gpt_4_temp0.6_10_candidate,147,0.0823469387755102,0.11435374149659866,85,0.5782312925170068,72,0.8470588235294118,73,0.4965986394557823,13,0.1780821917808219,0.04243835616438356,0.1550647726439461,0.0,0.873,0.20550057691367085,0.0,0.991,0.5226286214282726,0.8126859302156123,0.8863920841786048,10,10,gpt_4
