,Configuration,Tasks Analyzed,Raw Dis Mean,Raw Err Mean,Errors (Err > 0),Error Rate (Errors / Total),Detected Errors (Err > 0 and Dis > 0),Detection Rate (Detected / Errors),Confident (Dis = 0),Confident Rate (Confident / Total),Confident Errors (Err > 0 and Dis = 0),Confident Error Rate (Confident Errors / Confident),Error Mean When Confident,Raw Dis Std,Raw Dis min,Raw Dis Max,Raw Err Std,Raw Err min,Raw Err Max,R² (Err vs Dis),Spearman Rho err vs. diss,Unconfident Spearman Rho err vs. diss,no_candidates,threshold,model
0,gpt_o4_mini_temp0.6_10_candidate,410,0.10445365853658536,0.31091219512195123,289,0.7048780487804878,218,0.754325259515571,188,0.4585365853658537,71,0.3776595744680851,0.1784255319148936,0.17506599187450816,0.0,0.916,0.36523060820302583,0.0,1.0,-0.13983449218297972,0.56458587327031,0.432877737460129,10,10,gpt_o4_mini
1,ministral_8b_temp0.6_10_candidate,407,0.16408599508599508,0.37409828009828006,297,0.7297297297297297,209,0.7037037037037037,198,0.4864864864864865,88,0.4444444444444444,0.2106969696969697,0.2332600176800311,0.0,0.928,0.39346485835920175,0.0,1.0,0.030089809681613455,0.589202199028382,0.5680946685152376,10,10,ministral_8b
2,gemini_2_5_pro_temp0.6_10_candidate,409,0.0995036674816626,0.2960146699266504,284,0.6943765281173594,195,0.6866197183098591,212,0.5183374083129584,89,0.419811320754717,0.2070990566037736,0.16542654538522505,0.0,0.737,0.3681660619524107,0.0,1.0,-0.09546111664557677,0.5275993044042182,0.6078295101171777,10,10,gemini_2_5_pro
3,gpt_4o_temp0.6_10_candidate,408,0.11231372549019607,0.2772990196078431,272,0.6666666666666666,197,0.7242647058823529,208,0.5098039215686274,75,0.3605769230769231,0.16383173076923077,0.1872831546287315,0.0,0.895,0.3607197377670442,0.0,1.0,0.05052063015670272,0.6105368970025981,0.6538508100879915,10,10,gpt_4o
4,deepseek_v3_0324_temp0.6_10_candidate,408,0.11851715686274511,0.26594117647058824,266,0.6519607843137255,197,0.7406015037593985,209,0.5122549019607843,69,0.33014354066985646,0.15548803827751195,0.17848748981194046,0.0,0.893,0.3396124253924889,0.0,1.0,0.02643344872773945,0.6111847400898488,0.5388016405244257,10,10,deepseek_v3_0324
5,gpt_4_turbo_temp0.6_10_candidate,406,0.11946305418719212,0.2825369458128079,269,0.6625615763546798,195,0.724907063197026,207,0.5098522167487685,74,0.357487922705314,0.15561835748792271,0.19728701146087788,0.0,0.9,0.362136404865077,0.0,1.0,0.0608352294469211,0.6186338767724425,0.5930966949905794,10,10,gpt_4_turbo
6,gemini_2_5_flash_temp0.6_10_candidate,409,0.09360146699266504,0.2948875305623472,278,0.6797066014669927,198,0.7122302158273381,210,0.5134474327628362,80,0.38095238095238093,0.21825714285714287,0.15665914628647556,0.0,0.791,0.3737777238702542,0.0,1.0,-0.11698790267177772,0.5215830365078471,0.6451653386959261,10,10,gemini_2_5_flash
7,gemini_2_0_flash_lite_temp0.6_10_candidate,406,0.10970689655172414,0.2913128078817734,261,0.6428571428571429,177,0.6781609195402298,229,0.5640394088669951,84,0.36681222707423583,0.15858515283842795,0.1900072212828494,0.0,0.928,0.36588751425429883,0.0,1.0,0.03857844851293102,0.6237132261481898,0.5615672922632386,10,10,gemini_2_0_flash_lite
8,deepseek_r1_temp0.6_10_candidate,406,0.08110098522167489,0.22857635467980295,234,0.5763546798029556,151,0.6452991452991453,255,0.6280788177339901,83,0.3254901960784314,0.16396862745098037,0.15433196945888722,0.0,0.656,0.33451739788859997,0.0,1.0,-0.04383730719171952,0.56495427184859,0.628251016671001,10,10,deepseek_r1
9,gpt_4_temp0.6_10_candidate,402,0.1510820895522388,0.290589552238806,287,0.7139303482587065,225,0.7839721254355401,176,0.43781094527363185,62,0.3522727272727273,0.15701704545454545,0.2139124541428685,0.0,0.866,0.3593587755190982,0.0,1.0,0.20241757481002753,0.6619104551284105,0.745546671981266,10,10,gpt_4
