,Configuration,Tasks Analyzed,Raw Dis Mean,Raw Err Mean,Errors (Err > 0),Error Rate (Errors / Total),Detected Errors (Err > 0 and Dis > 0),Detection Rate (Detected / Errors),Confident (Dis = 0),Confident Rate (Confident / Total),Confident Errors (Err > 0 and Dis = 0),Confident Error Rate (Confident Errors / Confident),Error Mean When Confident,Raw Dis Std,Raw Dis min,Raw Dis Max,Raw Err Std,Raw Err min,Raw Err Max,R² (Err vs Dis),Spearman Rho err vs. diss,Unconfident Spearman Rho err vs. diss,no_candidates,threshold,model
0,ministral_8b_temp0.6_1_candidate,147,0.0,0.16876190476190475,64,0.43537414965986393,0,0.0,147,1.0,64,0.43537414965986393,0.16876190476190475,0.0,0.0,0.0,0.2915218649302764,0.0,1.0,-0.3351248015389352,,,1,1,ministral_8b
1,ministral_8b_temp0.6_2_candidate,147,0.10478231292517005,0.16901360544217686,73,0.4965986394557823,33,0.4520547945205479,113,0.7687074829931972,40,0.35398230088495575,0.10658407079646018,0.25930011810987136,0.0,1.0,0.2708826586935353,0.0,1.0,0.11289428765093612,0.5572381262060144,0.7389576992017942,2,2,ministral_8b
2,ministral_8b_temp0.6_3_candidate,147,0.10208843537414966,0.17159183673469391,78,0.5306122448979592,46,0.5897435897435898,100,0.6802721088435374,32,0.32,0.09451000000000001,0.2214509643107263,0.0,1.0,0.27132892293885114,0.0,1.0,0.23826009184053876,0.6365675834977779,0.7512575888985257,3,3,ministral_8b
3,ministral_8b_temp0.6_4_candidate,147,0.1017891156462585,0.16985714285714287,81,0.5510204081632653,54,0.6666666666666666,93,0.6326530612244898,27,0.2903225806451613,0.07458064516129032,0.19719392821207177,0.0,0.971,0.26441891109415316,0.0,1.0,0.34457063596556936,0.7179352688499255,0.7490326885950329,4,4,ministral_8b
4,ministral_8b_temp0.6_5_candidate,146,0.104986301369863,0.1741027397260274,83,0.5684931506849316,61,0.7349397590361446,85,0.5821917808219178,22,0.25882352941176473,0.06838823529411765,0.1974580235017667,0.0,0.928,0.26809428236922406,0.0,1.0,0.3824013250084426,0.7542853652420322,0.7575396983460658,5,5,ministral_8b
5,ministral_8b_temp0.6_6_candidate,144,0.09454861111111111,0.1635277777777778,80,0.5555555555555556,59,0.7375,84,0.5833333333333334,21,0.25,0.0683452380952381,0.1748025803053385,0.0,0.735,0.25414625449303696,0.0,1.0,0.3185903679975929,0.7347669858175847,0.74325094139696,6,6,ministral_8b
6,ministral_8b_temp0.6_7_candidate,144,0.09316666666666668,0.16454166666666664,81,0.5625,61,0.7530864197530864,83,0.5763888888888888,20,0.24096385542168675,0.07016867469879517,0.1712275938302261,0.0,0.725,0.2541899681941747,0.0,1.0,0.30036306430562343,0.7420350159138257,0.7349394406758823,7,7,ministral_8b
7,ministral_8b_temp0.6_8_candidate,144,0.08990277777777779,0.1613472222222222,83,0.5763888888888888,62,0.7469879518072289,82,0.5694444444444444,21,0.25609756097560976,0.07017073170731708,0.16517841025541496,0.0,0.718,0.25169371597032497,0.0,1.0,0.296420273866551,0.7438097502170347,0.7474972612129802,8,8,ministral_8b
8,ministral_8b_temp0.6_9_candidate,144,0.09159027777777778,0.15892361111111108,83,0.5763888888888888,63,0.7590361445783133,81,0.5625,20,0.24691358024691357,0.07161728395061728,0.1658766029477286,0.0,0.744,0.24767053832385177,0.0,1.0,0.3163519900457801,0.7373089798245892,0.7766415837506004,9,9,ministral_8b
9,ministral_8b_temp0.6_10_candidate,144,0.09112499999999998,0.1584583333333333,84,0.5833333333333334,62,0.7380952380952381,82,0.5694444444444444,22,0.2682926829268293,0.07370731707317074,0.1685770461424423,0.0,0.731,0.24691479285485418,0.0,1.0,0.29767166806062806,0.7282090011410571,0.7982144655988718,10,10,ministral_8b
10,ministral_8b_temp0.6_11_candidate,144,0.09247916666666667,0.15836111111111112,85,0.5902777777777778,66,0.7764705882352941,78,0.5416666666666666,19,0.24358974358974358,0.07064102564102563,0.16349090905536615,0.0,0.724,0.2458147623242819,0.0,1.0,0.3183171201951325,0.7514034491198238,0.7804674370721348,11,11,ministral_8b
11,ministral_8b_temp0.6_12_candidate,144,0.09297916666666667,0.15913888888888889,85,0.5902777777777778,65,0.7647058823529411,79,0.5486111111111112,20,0.25316455696202533,0.06949367088607596,0.1645182136467807,0.0,0.743,0.24563448486383377,0.0,1.0,0.3000727468320087,0.7529236786597547,0.7527947463913436,12,12,ministral_8b
