,Configuration,Tasks Analyzed,Raw Dis Mean,Raw Err Mean,Errors (Err > 0),Error Rate (Errors / Total),Detected Errors (Err > 0 and Dis > 0),Detection Rate (Detected / Errors),Confident (Dis = 0),Confident Rate (Confident / Total),Confident Errors (Err > 0 and Dis = 0),Confident Error Rate (Confident Errors / Confident),Error Mean When Confident,Raw Dis Std,Raw Dis min,Raw Dis Max,Raw Err Std,Raw Err min,Raw Err Max,R² (Err vs Dis),Spearman Rho err vs. diss,Unconfident Spearman Rho err vs. diss,no_candidates,threshold,model
0,ministral_8b_temp0.6_1_candidate,411,0.0,0.3832214111922141,259,0.6301703163017032,0,0.0,411,1.0,259,0.6301703163017032,0.3832214111922141,0.0,0.0,0.0,0.42552286671948847,0.0,1.0,-0.8110613857728919,,,1,1,ministral_8b
1,ministral_8b_temp0.6_2_candidate,410,0.16396097560975606,0.37704390243902436,273,0.6658536585365854,120,0.43956043956043955,290,0.7073170731707317,153,0.5275862068965518,0.29336551724137927,0.33178705106978595,0.0,1.0,0.40578872073710215,0.0,1.0,-0.3140031235485339,0.3949220941787547,0.3924133235563585,2,2,ministral_8b
2,ministral_8b_temp0.6_3_candidate,408,0.1629387254901961,0.3758382352941176,276,0.6764705882352942,148,0.5362318840579711,259,0.6348039215686274,128,0.4942084942084942,0.2578803088803089,0.27848654114404814,0.0,1.0,0.4002107328582344,0.0,1.0,-0.1306098888365903,0.47817013353311216,0.4025671380782563,3,3,ministral_8b
3,ministral_8b_temp0.6_4_candidate,408,0.15985049019607842,0.37479166666666663,285,0.6985294117647058,168,0.5894736842105263,240,0.5882352941176471,117,0.4875,0.25299583333333336,0.2592483473196984,0.0,0.963,0.3980211569767916,0.0,1.0,-0.09620256903950208,0.49510025122254664,0.48764904568237677,4,4,ministral_8b
4,ministral_8b_temp0.6_5_candidate,408,0.16453676470588235,0.37209313725490195,289,0.7083333333333334,183,0.6332179930795848,224,0.5490196078431373,106,0.4732142857142857,0.24161607142857142,0.25380666298930804,0.0,0.932,0.396202421714596,0.0,1.0,-0.03717249106931497,0.5204461931193441,0.5538260890760149,5,5,ministral_8b
5,ministral_8b_temp0.6_6_candidate,408,0.16287745098039216,0.37159803921568624,289,0.7083333333333334,189,0.6539792387543253,218,0.5343137254901961,100,0.45871559633027525,0.23105045871559632,0.2464843483902084,0.0,0.96,0.3951548470326667,0.0,1.0,-0.016210177294468053,0.5413103061172297,0.5375275848928445,6,6,ministral_8b
6,ministral_8b_temp0.6_7_candidate,408,0.16105392156862747,0.3715073529411764,290,0.7107843137254902,194,0.6689655172413793,213,0.5220588235294118,96,0.4507042253521127,0.22491549295774646,0.23734355432313503,0.0,0.944,0.39514876194109644,0.0,1.0,-0.004539545802761502,0.5578232105509536,0.5530236083135615,7,7,ministral_8b
7,ministral_8b_temp0.6_8_candidate,408,0.16199019607843138,0.37063970588235295,292,0.7156862745098039,201,0.6883561643835616,205,0.5024509803921569,91,0.44390243902439025,0.2223170731707317,0.23375049523269503,0.0,0.912,0.39388882562577815,0.0,1.0,0.015391320236535888,0.5648022986651575,0.587522009176425,8,8,ministral_8b
8,ministral_8b_temp0.6_9_candidate,408,0.16273284313725492,0.37245833333333334,293,0.7181372549019608,204,0.6962457337883959,202,0.4950980392156863,89,0.4405940594059406,0.21618811881188119,0.2317627562742516,0.0,0.908,0.39341280548399904,0.0,1.0,0.018326500108981736,0.5774386703133704,0.5716005020421103,9,9,ministral_8b
9,ministral_8b_temp0.6_10_candidate,407,0.16408599508599508,0.37409828009828006,297,0.7297297297297297,209,0.7037037037037037,198,0.4864864864864865,88,0.4444444444444444,0.2106969696969697,0.2332600176800311,0.0,0.928,0.39346485835920175,0.0,1.0,0.030089809681613455,0.589202199028382,0.5680946685152376,10,10,ministral_8b
