,Configuration,Tasks Analyzed,Raw Dis Mean,Raw Err Mean,Errors (Err > 0),Error Rate (Errors / Total),Detected Errors (Err > 0 and Dis > 0),Detection Rate (Detected / Errors),Confident (Dis = 0),Confident Rate (Confident / Total),Confident Errors (Err > 0 and Dis = 0),Confident Error Rate (Confident Errors / Confident),Error Mean When Confident,Raw Dis Std,Raw Dis min,Raw Dis Max,Raw Err Std,Raw Err min,Raw Err Max,R² (Err vs Dis),Spearman Rho err vs. diss,Unconfident Spearman Rho err vs. diss,no_candidates,threshold,model
0,gemini_2_0_flash_lite_temp0.6_100_sample,148,0.03385135135135135,0.11655405405405406,61,0.41216216216216217,25,0.4098360655737705,121,0.8175675675675675,36,0.2975206611570248,0.08446280991735537,0.11639589739594039,0.0,0.8,0.2057540937093579,0.0,0.94,0.1609026762959097,0.47425460684724796,0.8577166175507057,100,100,gemini_2_0_flash_lite
1,gemini_2_0_flash_lite_temp0.6_1000_sample,148,0.03507432432432433,0.11586486486486486,71,0.4797297297297297,30,0.4225352112676056,118,0.7972972972972973,41,0.3474576271186441,0.08476271186440679,0.11583055490183834,0.0,0.779,0.203995550052441,0.0,0.959,0.17420747531431946,0.4933125319457878,0.8705908588445671,1000,1000,gemini_2_0_flash_lite
2,gemini_2_0_flash_lite_temp0.6_1500_sample,148,0.03504054054054054,0.11477927927927929,73,0.49324324324324326,30,0.410958904109589,118,0.7972972972972973,43,0.3644067796610169,0.08339548022598871,0.1161191586996962,0.0,0.7886666666666666,0.20148153051388928,0.0,0.9526666666666667,0.19164870636938558,0.4921266925921852,0.8748470406788397,1500,1500,gemini_2_0_flash_lite
3,gemini_2_0_flash_lite_temp0.6_2000_sample,148,0.034570945945945945,0.11671621621621622,71,0.4797297297297297,29,0.4084507042253521,118,0.7972972972972973,42,0.3559322033898305,0.0854915254237288,0.11488272531055686,0.0,0.782,0.204322150263709,0.0,0.9605,0.17789918626972412,0.4786740973268485,0.8553948832035595,2000,2000,gemini_2_0_flash_lite
4,gemini_2_0_flash_lite_temp0.6_2500_sample,148,0.03472162162162162,0.1162081081081081,72,0.4864864864864865,30,0.4166666666666667,118,0.7972972972972973,42,0.3559322033898305,0.08499999999999999,0.11541216066690188,0.0,0.7776,0.20258856438788708,0.0,0.958,0.17685335544475056,0.489910649413893,0.8615932567557631,2500,2500,gemini_2_0_flash_lite
5,gemini_2_0_flash_lite_temp0.6_3000_sample,148,0.03470945945945946,0.11704054054054054,73,0.49324324324324326,31,0.4246575342465753,117,0.7905405405405406,42,0.358974358974359,0.08677207977207976,0.11497982118566716,0.0,0.7836666666666666,0.204118440361972,0.0,0.9533333333333334,0.17443477370234262,0.48722200466768795,0.8719499899173219,3000,3000,gemini_2_0_flash_lite
6,gemini_2_0_flash_lite_temp0.6_3500_sample,148,0.03471428571428572,0.11672586872586872,73,0.49324324324324326,31,0.4246575342465753,116,0.7837837837837838,42,0.3620689655172414,0.08727586206896552,0.11505418997105321,0.0,0.7908571428571428,0.20295483910554543,0.0,0.9445714285714286,0.17336834250814004,0.4752047074479248,0.8833883536826853,3500,3500,gemini_2_0_flash_lite
7,gemini_2_0_flash_lite_temp0.6_4000_sample,148,0.03478378378378378,0.11632263513513513,74,0.5,31,0.4189189189189189,117,0.7905405405405406,43,0.36752136752136755,0.08611111111111111,0.1152680470738683,0.0,0.781,0.20318508831272697,0.0,0.9535,0.17488149937896857,0.4849675736180269,0.8734623916112118,4000,4000,gemini_2_0_flash_lite
8,gemini_2_0_flash_lite_temp0.6_4500_sample,148,0.03459159159159159,0.11624024024024023,72,0.4864864864864865,31,0.4305555555555556,117,0.7905405405405406,41,0.3504273504273504,0.0863627730294397,0.11491741548499566,0.0,0.7797777777777778,0.20259265565777257,0.0,0.948,0.1692922054571585,0.4903790612779017,0.8843633475732694,4500,4500,gemini_2_0_flash_lite
9,gemini_2_0_flash_lite_temp0.6_5000_sample,148,0.034636486486486484,0.11653783783783783,74,0.5,31,0.4189189189189189,116,0.7837837837837838,43,0.3706896551724138,0.0870103448275862,0.11460435121488603,0.0,0.7804,0.2031297413269196,0.0,0.9508,0.17539985557475157,0.47218913871440843,0.8951612903225805,5000,5000,gemini_2_0_flash_lite
