,Configuration,Tasks Analyzed,Raw Dis Mean,Raw Err Mean,Errors (Err > 0),Error Rate (Errors / Total),Detected Errors (Err > 0 and Dis > 0),Detection Rate (Detected / Errors),Confident (Dis = 0),Confident Rate (Confident / Total),Confident Errors (Err > 0 and Dis = 0),Confident Error Rate (Confident Errors / Confident),Error Mean When Confident,Raw Dis Std,Raw Dis min,Raw Dis Max,Raw Err Std,Raw Err min,Raw Err Max,R² (Err vs Dis),Spearman Rho err vs. diss,Unconfident Spearman Rho err vs. diss,no_candidates,threshold,model
0,gemini_2_0_flash_lite_temp0.6_100_sample,407,0.10921375921375923,0.29019656019656015,248,0.6093366093366094,164,0.6612903225806451,239,0.5872235872235873,84,0.3514644351464435,0.16518828451882844,0.18967804354696519,0.0,1.0,0.36754108321461915,0.0,1.0,0.03660199218525684,0.601202070561303,0.5736840516484749,100,100,gemini_2_0_flash_lite
1,gemini_2_0_flash_lite_temp0.6_1000_sample,405,0.10714320987654322,0.2895012345679012,262,0.6469135802469136,174,0.6641221374045801,230,0.5679012345679012,88,0.3826086956521739,0.1636695652173913,0.18633790952988682,0.0,0.934,0.36487307872563407,0.0,1.0,0.024938334240784732,0.6095255343129482,0.5840976165876237,1000,1000,gemini_2_0_flash_lite
2,gemini_2_0_flash_lite_temp0.6_1500_sample,405,0.10833086419753085,0.29031604938271605,261,0.6444444444444445,176,0.6743295019157088,229,0.5654320987654321,85,0.37117903930131,0.163528384279476,0.1882285195630401,0.0,0.938,0.3652310435901512,0.0,1.0,0.03235602183627406,0.6165665639572877,0.5915257377907415,1500,1500,gemini_2_0_flash_lite
3,gemini_2_0_flash_lite_temp0.6_2000_sample,405,0.10760370370370372,0.2897111111111111,260,0.6419753086419753,176,0.676923076923077,226,0.5580246913580247,84,0.37168141592920356,0.16494469026548675,0.1873883248958436,0.0,0.929,0.3653404659346987,0.0,1.0,0.031609769345948835,0.6090219581217405,0.6153475402318007,2000,2000,gemini_2_0_flash_lite
4,gemini_2_0_flash_lite_temp0.6_2500_sample,405,0.10758913580246914,0.2899585185185185,263,0.6493827160493827,179,0.6806083650190115,225,0.5555555555555556,84,0.37333333333333335,0.1620408888888889,0.18751005103725482,0.0,0.9372,0.3655528897677575,0.0,1.0,0.029809089578350823,0.6135876816386542,0.5921538150460719,2500,2500,gemini_2_0_flash_lite
5,gemini_2_0_flash_lite_temp0.6_3000_sample,405,0.10785843621399176,0.289722633744856,263,0.6493827160493827,178,0.6768060836501901,226,0.5580246913580247,85,0.37610619469026546,0.1616386430678466,0.18764861578216338,0.0,0.9363333333333334,0.3651610857432806,0.0,1.0,0.02902328251405406,0.6152118592098295,0.5878201480224121,3000,3000,gemini_2_0_flash_lite
6,gemini_2_0_flash_lite_temp0.6_3500_sample,405,0.10770017636684304,0.28972134038800706,262,0.6469135802469136,179,0.683206106870229,225,0.5555555555555556,83,0.3688888888888889,0.16187809523809524,0.18705022197369156,0.0,0.93,0.365292210625936,0.0,1.0,0.03135540514747115,0.6155143121054473,0.5963054415146851,3500,3500,gemini_2_0_flash_lite
7,gemini_2_0_flash_lite_temp0.6_4000_sample,405,0.10823086419753086,0.2897401234567901,263,0.6493827160493827,180,0.6844106463878327,225,0.5555555555555556,83,0.3688888888888889,0.1621,0.18790020689479034,0.0,0.938,0.365404401240138,0.0,1.0,0.03224669456551288,0.6171011325321539,0.5944563075581564,4000,4000,gemini_2_0_flash_lite
8,gemini_2_0_flash_lite_temp0.6_4500_sample,405,0.10793635116598078,0.2898326474622771,262,0.6469135802469136,180,0.6870229007633588,224,0.5530864197530864,82,0.36607142857142855,0.16275892857142857,0.1877542796720476,0.0,0.942,0.36524468188839376,0.0,1.0,0.03131135019353137,0.6146015624098707,0.5989122903107635,4500,4500,gemini_2_0_flash_lite
9,gemini_2_0_flash_lite_temp0.6_5000_sample,405,0.10773481481481482,0.2900543209876543,263,0.6493827160493827,181,0.688212927756654,224,0.5530864197530864,82,0.36607142857142855,0.16290446428571428,0.18715001046635907,0.0,0.933,0.36533281537182216,0.0,1.0,0.031075535458196524,0.6167016861008936,0.6021714746179063,5000,5000,gemini_2_0_flash_lite
