,Configuration,Tasks Analyzed,Raw Dis Mean,Raw Err Mean,Errors (Err > 0),Error Rate (Errors / Total),Detected Errors (Err > 0 and Dis > 0),Detection Rate (Detected / Errors),Confident (Dis = 0),Confident Rate (Confident / Total),Confident Errors (Err > 0 and Dis = 0),Confident Error Rate (Confident Errors / Confident),Error Mean When Confident,Raw Dis Std,Raw Dis min,Raw Dis Max,Raw Err Std,Raw Err min,Raw Err Max,R² (Err vs Dis),Spearman Rho err vs. diss,Unconfident Spearman Rho err vs. diss,no_candidates,threshold,model
0,claude_sonnet_4_temp0.2_0.2_temp,146,0.0030068493150684937,0.05767123287671233,52,0.3561643835616438,6,0.11538461538461539,139,0.952054794520548,46,0.33093525179856115,0.05828057553956835,0.018323013665857802,0.0,0.153,0.1294271419095067,0.0,0.719,-0.19517861867187491,0.20175625871235975,0.7500000000000002,0.2,0.2,claude_sonnet_4
1,claude_sonnet_4_temp0.6_0.6_temp,146,0.007979452054794521,0.061205479452054797,53,0.363013698630137,14,0.2641509433962264,132,0.9041095890410958,39,0.29545454545454547,0.05431818181818182,0.03988759363169397,0.0,0.422,0.13177023994195033,0.0,0.719,-0.13042598894203938,0.406760603110301,0.6725472665422744,0.6,0.6,claude_sonnet_4
2,claude_sonnet_4_temp1_1_temp,146,0.006561643835616438,0.05625342465753425,54,0.3698630136986301,21,0.3888888888888889,125,0.8561643835616438,33,0.264,0.042112000000000004,0.0243071026889965,0.0,0.176,0.12731380773096315,0.0,0.733,-0.09454246183059611,0.509731189905645,0.5489756697241421,1.0,1.0,claude_sonnet_4
3,llama_4_maverick_17b_temp0.2_0.2_temp,147,0.022006802721088438,0.08364625850340135,60,0.40816326530612246,22,0.36666666666666664,125,0.8503401360544217,38,0.304,0.066176,0.08570424517372413,0.0,0.66,0.17832450748283143,0.0,0.983,0.06370471711635117,0.48795862428017894,0.5988700564971752,0.2,0.2,llama_4_maverick_17b
4,llama_4_maverick_17b_temp0.6_0.6_temp,147,0.03744897959183673,0.08752380952380952,61,0.41496598639455784,33,0.5409836065573771,114,0.7755102040816326,28,0.24561403508771928,0.05934210526315789,0.11081419048065974,0.0,0.701,0.18477820252125013,0.0,0.988,0.20381826301237105,0.6150081001095578,0.7459667333593646,0.6,0.6,llama_4_maverick_17b
5,llama_4_maverick_17b_temp1_1_temp,147,0.03717006802721089,0.09133333333333334,64,0.43537414965986393,39,0.609375,107,0.7278911564625851,25,0.2336448598130841,0.05888785046728972,0.10963466692845095,0.0,0.759,0.18610260988469693,0.0,0.982,0.20033149849865872,0.6406579231194559,0.6608801755659997,1.0,1.0,llama_4_maverick_17b
6,ministral_8b_temp0.2_0.2_temp,144,0.05979166666666666,0.15600694444444443,76,0.5277777777777778,37,0.4868421052631579,106,0.7361111111111112,39,0.36792452830188677,0.09028301886792453,0.14378561756811575,0.0,0.69,0.2527559895028256,0.0,1.0,0.12130343619892758,0.5914795304931643,0.5946271278802367,0.2,0.2,ministral_8b
7,ministral_8b_temp0.6_0.6_temp,144,0.09144444444444445,0.15870138888888888,84,0.5833333333333334,62,0.7380952380952381,82,0.5694444444444444,22,0.2682926829268293,0.0739390243902439,0.16671006842293673,0.0,0.721,0.24735481375336094,0.0,1.0,0.31249035075553344,0.7296930023619312,0.7940187637723268,0.6,0.6,ministral_8b
8,ministral_8b_temp1_1_temp,144,0.11327083333333333,0.15429166666666666,87,0.6041666666666666,73,0.8390804597701149,71,0.4930555555555556,14,0.19718309859154928,0.04040845070422536,0.1830703879033508,0.0,0.819,0.23154144922309985,0.0,0.988,0.4243290787935864,0.8158177971207827,0.7225252055328963,1.0,1.0,ministral_8b
9,gemini_2_5_flash_temp0.2_0.2_temp,145,0.03369655172413793,0.0788206896551724,64,0.4413793103448276,50,0.78125,93,0.6413793103448275,14,0.15053763440860216,0.0231505376344086,0.075522120453312,0.0,0.442,0.1676010315565949,0.0,0.933,0.27507349992577135,0.7954976342103658,0.7166588611212302,0.2,0.2,gemini_2_5_flash
10,gemini_2_5_flash_temp0.6_0.6_temp,145,0.034737931034482764,0.07961379310344828,66,0.45517241379310347,52,0.7878787878787878,92,0.6344827586206897,14,0.15217391304347827,0.03394565217391304,0.0777334988090636,0.0,0.485,0.16718279016391513,0.0,0.873,0.28844508140198377,0.7685286038670716,0.8307453585070497,0.6,0.6,gemini_2_5_flash
11,gemini_2_5_flash_temp1_1_temp,146,0.03763698630136987,0.07358219178082191,68,0.4657534246575342,55,0.8088235294117647,90,0.6164383561643836,13,0.14444444444444443,0.021544444444444446,0.07946161993674944,0.0,0.486,0.15893449830468045,0.0,0.899,0.3689237684488943,0.8150126453419158,0.7989025650693193,1.0,1.0,gemini_2_5_flash
12,gpt_3_5_temp0.2_0.2_temp,147,0.05259863945578231,0.16531972789115645,76,0.5170068027210885,44,0.5789473684210527,101,0.6870748299319728,32,0.31683168316831684,0.10340594059405941,0.12085053791835483,0.0,0.605,0.2768455938029161,0.0,1.0,0.14614445759337302,0.5888858868040052,0.8118637855619992,0.2,0.2,gpt_3_5
13,gpt_3_5_temp0.6_0.6_temp,145,0.0912,0.1618137931034483,81,0.5586206896551724,68,0.8395061728395061,76,0.5241379310344828,13,0.17105263157894737,0.04444736842105263,0.15117606086715696,0.0,0.83,0.25390410859510415,0.0,1.0,0.41008346426238673,0.8129054328430577,0.740008222083963,0.6,0.6,gpt_3_5
14,gpt_3_5_temp1_1_temp,143,0.13133566433566435,0.16817482517482518,90,0.6293706293706294,84,0.9333333333333333,57,0.3986013986013986,6,0.10526315789473684,0.017350877192982457,0.1872195504126812,0.0,0.822,0.24366738520159692,0.0,1.0,0.6133612490052442,0.8919551427862237,0.8146500484459153,1.0,1.0,gpt_3_5
