,Configuration,Tasks Analyzed,Raw Dis Mean,Raw Err Mean,Errors (Err > 0),Error Rate (Errors / Total),Detected Errors (Err > 0 and Dis > 0),Detection Rate (Detected / Errors),Confident (Dis = 0),Confident Rate (Confident / Total),Confident Errors (Err > 0 and Dis = 0),Confident Error Rate (Confident Errors / Confident),Error Mean When Confident,Raw Dis Std,Raw Dis min,Raw Dis Max,Raw Err Std,Raw Err min,Raw Err Max,R² (Err vs Dis),Spearman Rho err vs. diss,Unconfident Spearman Rho err vs. diss,no_candidates,threshold,model
0,claude_sonnet_4_temp0.2_0.2_temp,410,0.022119512195121947,0.2749121951219512,235,0.573170731707317,52,0.22127659574468084,358,0.8731707317073171,183,0.5111731843575419,0.22490782122905026,0.08273258631752327,0.0,0.592,0.37542817454411026,0.0,1.0,-0.3718649946589556,0.36628069849480743,0.2068612021650112,0.2,0.2,claude_sonnet_4
1,claude_sonnet_4_temp0.6_0.6_temp,409,0.044899755501222494,0.2684963325183374,245,0.5990220048899756,98,0.4,310,0.7579462102689487,147,0.47419354838709676,0.21603225806451612,0.12198772323872233,0.0,0.805,0.3632679850463769,0.0,1.0,-0.29850320842124245,0.4088402759795641,0.4152235343893734,0.6,0.6,claude_sonnet_4
2,claude_sonnet_4_temp1_1_temp,409,0.06308312958435208,0.268440097799511,248,0.6063569682151589,124,0.5,285,0.6968215158924206,124,0.43508771929824563,0.1850280701754386,0.14595162119709051,0.0,0.835,0.36125308530724026,0.0,1.0,-0.1565811275861635,0.5063593305672524,0.4675303671956292,1.0,1.0,claude_sonnet_4
3,llama_4_maverick_17b_temp0.2_0.2_temp,407,0.04561179361179361,0.29233169533169534,232,0.5700245700245701,80,0.3448275862068966,327,0.8034398034398035,152,0.4648318042813456,0.23641284403669727,0.1303089568463162,0.0,0.781,0.38364668885590403,0.0,1.0,-0.30323795146896204,0.390312286627407,0.4094634106715345,0.2,0.2,llama_4_maverick_17b
4,llama_4_maverick_17b_temp0.6_0.6_temp,408,0.06706127450980393,0.2980686274509804,250,0.6127450980392157,118,0.472,288,0.7058823529411765,132,0.4583333333333333,0.2353333333333333,0.15476233730903657,0.0,0.98,0.38006359787215593,0.0,1.0,-0.2633367852920001,0.42412649147344095,0.49687115056475073,0.6,0.6,llama_4_maverick_17b
5,llama_4_maverick_17b_temp1_1_temp,409,0.08145965770171149,0.296481662591687,263,0.6430317848410758,145,0.5513307984790875,264,0.6454767726161369,118,0.44696969696969696,0.22116666666666665,0.16283182846949493,0.0,0.896,0.3755305297297331,0.0,1.0,-0.19160830635586246,0.4695355573201853,0.4853070602335972,1.0,1.0,llama_4_maverick_17b
6,ministral_8b_temp0.2_0.2_temp,406,0.1077832512315271,0.3667389162561577,267,0.6576354679802956,134,0.50187265917603,272,0.6699507389162561,133,0.4889705882352941,0.26341176470588235,0.20086505607985056,0.0,0.849,0.40362754842197146,0.0,1.0,-0.19425597396269567,0.46517251009094884,0.5571313309320988,0.2,0.2,ministral_8b
7,ministral_8b_temp0.6_0.6_temp,407,0.16375184275184274,0.37493857493857485,295,0.7248157248157249,208,0.7050847457627119,197,0.48402948402948404,87,0.4416243654822335,0.21666497461928935,0.23235329542981664,0.0,0.926,0.39386125927622934,0.0,1.0,0.025425306293068717,0.581380570177336,0.5870161892475553,0.6,0.6,ministral_8b
8,ministral_8b_temp1_1_temp,405,0.2021604938271605,0.3762641975308642,310,0.7654320987654321,253,0.8161290322580645,149,0.36790123456790125,57,0.3825503355704698,0.19675838926174496,0.25224860639241725,0.0,0.917,0.38488136614044305,0.0,1.0,0.1242430574972444,0.6236254274212256,0.629356951809502,1.0,1.0,ministral_8b
9,gemini_2_5_flash_temp0.2_0.2_temp,409,0.07880929095354525,0.2932224938875306,261,0.6381418092909535,171,0.6551724137931034,237,0.5794621026894865,90,0.379746835443038,0.20437974683544305,0.14445055773537047,0.0,0.86,0.3754954306874188,0.0,1.0,-0.15658582607243732,0.5329066014702021,0.5558893507373086,0.2,0.2,gemini_2_5_flash
10,gemini_2_5_flash_temp0.6_0.6_temp,409,0.09348655256723717,0.2951882640586797,278,0.6797066014669927,193,0.6942446043165468,213,0.5207823960880196,85,0.39906103286384975,0.2137417840375587,0.15624216499506477,0.0,0.79,0.3732532013683276,0.0,1.0,-0.11645089673298692,0.5245824350474767,0.623749867186985,0.6,0.6,gemini_2_5_flash
11,gemini_2_5_flash_temp1_1_temp,410,0.10368780487804878,0.29663414634146335,272,0.6634146341463415,199,0.7316176470588235,211,0.5146341463414634,73,0.3459715639810427,0.1862559241706161,0.16926188425347008,0.0,0.823,0.3707854850276614,0.0,1.0,-0.06180892545696093,0.5848799820775796,0.5583474341168221,1.0,1.0,gemini_2_5_flash
12,gpt_3_5_temp0.2_0.2_temp,403,0.0659106699751861,0.30563275434243176,239,0.5930521091811415,111,0.46443514644351463,292,0.7245657568238213,128,0.4383561643835616,0.22831164383561645,0.14976620973523808,0.0,0.915,0.38623680250853437,0.0,1.0,-0.22932193100547882,0.46264181166673013,0.5129775665769566,0.2,0.2,gpt_3_5
13,gpt_3_5_temp0.6_0.6_temp,401,0.1334488778054863,0.30412967581047384,259,0.6458852867830424,183,0.7065637065637066,217,0.5411471321695761,76,0.35023041474654376,0.16052534562211984,0.21125305529520427,0.0,0.878,0.3686715359078768,0.0,1.0,0.052890614093122346,0.6257074217685369,0.5135239183809936,0.6,0.6,gpt_3_5
